Input file,Event Number,Species Code,Call,Start time,End time,Comments,Image,Audio
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:18,UF,Other,6/3/2022 3:31:10.5,6/3/2022 12:20:41.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:18,UF,Other,6/4/2022 3:29:13.5,6/4/2022 4:42:33.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:29,UF,Other,6/4/2022 3:27:13.5,6/4/2022 12:22:39.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:29,UF,Other,6/4/2022 3:31:08.5,6/4/2022 4:06:53.5,HF sunset,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:32,UF,Other,6/5/2022 3:17:19.5,6/5/2022 4:34:39.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:32,UF,Other,6/5/2022 3:21:14.5,6/5/2022 12:28:40.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:32,UF,Other,6/5/2022 3:29:14.5,6/5/2022 4:08:54.5,HF sunset,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:33,UF,Other,6/5/2022 3:21:14.5,6/5/2022 12:28:40.5,HF,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:34,UF,Other,6/6/2022 3:15:22.5,6/6/2022 4:12:52.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:34,UF,Other,6/6/2022 3:09:27.5,6/6/2022 12:30:38.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:34,UF,Other,6/6/2022 3:19:22.5,6/6/2022 3:59:02.5,HF sunset,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:35,UF,Other,6/7/2022 3:15:20.5,6/7/2022 4:24:45.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:35,UF,Other,6/7/2022 3:17:20.5,6/7/2022 12:30:36.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:35,UF,Other,6/7/2022 0:34:40.5,6/7/2022 12:06:51.5,off effort,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:36,UF,Other,6/8/2022 3:11:17.5,6/8/2022 4:36:37.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:36,UF,Other,6/8/2022 3:13:17.5,6/8/2022 12:20:37.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:36,UF,Other,6/9/2022 3:19:18.5,6/9/2022 4:32:38.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:36,UF,Other,6/9/2022 3:23:13.5,6/9/2022 12:20:39.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:37,UF,Other,6/10/2022 3:27:15.5,6/10/2022 4:50:30.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:37,UF,Other,6/10/2022 3:25:15.5,6/10/2022 12:20:41.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:37,UF,Other,6/11/2022 3:17:21.5,6/11/2022 4:24:46.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:38,UF,Other,6/11/2022 3:11:21.5,6/11/2022 12:34:37.5,bocaccio,,
